# ident;sexe;age;CSP;type-cylindree;[type-utilisation-a;b;c];[critere-esthetique-a;b;c;d;e;f;g];note-satisfaction;imp-magasin;imp-marque;imp-esthetique;imp-prix;imp-confort-pilote;imp-confort-passager;imp-dimensions;imp-freinage;imp-cylindree;imp-antivol;imp-tableau-de-bord;imp-accessoires;imp-rangement;imp-propulsion;imp-refroidissement;imp-tablier-avant;imp-feux;imp-fiabilite-moteur
# age: 0 homme, 1 femme
# type-utilisation-a;b;c; : 1;0;0; Domicile-travail | 0;1;0; Perso&loisirs | 0;0;1; Professionnel
# critere-esthetique-a;b;c;d;e;f;g; : 1000000 a la mode | innovant nouveau | sportif | discrete / sobre | classique | retro | ressemble a une moto 
# CSP: 0 inactif, 1 ouvrier, 2 employe, 3 classe moyenne, 4 classe sup moyenne, 5 classe sup
036;0;30;2;250;0;1;0;1;0;0;0;0;0;0;10;3;4;5;2;5;5;3;4;5;2;5;3;2;4;2;2;2;4
037;0;18;0;125;0;1;0;0;0;0;1;0;0;0;6;1;2;3;4;4;2;3;3;4;2;2;2;3;1;1;2;2;2
038;0;30;1;250;0;1;0;0;1;0;0;0;0;0;8;2;4;4;2;4;3;4;4;5;3;4;3;4;4;3;2;2;4
039;0;16;0;125;0;1;0;0;0;0;0;1;0;0;8;3;3;4;5;3;2;1;4;3;2;2;1;3;3;4;3;2;4
040;0;50;4;150;1;0;0;0;0;0;1;0;0;0;8;2;4;4;4;4;3;5;4;4;2;2;2;2;3;3;2;4;5
041;1;25;5;150;0;1;0;0;1;0;0;0;0;0;7;3;3;4;3;4;4;3;4;4;3;4;3;4;4;4;4;4;5
042;0;40;4;250;1;0;0;0;0;0;0;1;0;0;8;3;4;2;3;3;3;2;4;4;3;4;2;2;3;3;3;4;3
043;1;20;0;125;0;1;0;0;0;1;0;0;0;0;9;5;5;4;5;4;3;5;4;4;4;4;4;4;4;4;4;4;5
044;0;40;2;250;1;0;0;0;1;0;0;0;0;0;9;2;4;3;3;4;3;2;3;3;2;2;1;2;3;2;3;2;3
045;0;50;3;250;0;1;0;0;1;0;0;0;0;0;8;2;4;4;5;5;4;3;5;5;5;4;5;5;5;5;4;5;5
046;0;25;3;150;1;0;0;0;1;0;0;0;0;0;9;3;4;3;4;2;3;3;2;4;4;2;3;3;4;3;3;2;3
047;0;25;2;125;1;0;0;0;0;0;0;0;0;1;7;4;5;4;5;4;4;4;5;5;4;4;3;5;4;4;4;3;4
048;0;40;2;250;1;0;0;0;0;1;0;0;0;0;7;3;4;3;5;4;4;3;5;4;4;4;5;4;3;4;3;4;4
049;0;30;4;150;0;1;0;0;0;1;0;0;0;0;9;1;5;5;5;5;4;5;5;5;1;5;2;5;5;5;3;5;5
050;0;30;3;125;0;1;0;0;0;0;1;0;0;0;10;5;5;5;5;5;4;5;5;5;4;5;5;5;4;4;5;5;5
051;1;30;3;125;0;1;0;0;0;0;0;1;0;0;8;4;5;5;5;5;4;5;4;4;3;4;4;3;3;3;4;4;4
052;0;25;1;150;1;0;0;0;0;0;1;0;0;0;8;4;4;5;5;5;5;4;5;4;4;4;4;4;5;5;4;5;5
053;0;40;3;250;1;0;0;0;1;0;0;0;0;0;9;4;4;4;4;5;3;4;5;5;3;4;5;4;5;4;5;5;5
054;0;30;3;150;0;1;0;0;0;1;0;0;0;0;8;4;4;4;5;4;3;4;4;5;4;4;4;4;4;4;4;4;4
